EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
6.66110,3.48629,19.13950,19.52346,4.09757
-4.12668,-9.57068,4.48141,3.66516,-9.82902
-10.62740,-12.65171,-6.59759,-10.18798,-14.79157
0.46350,5.30168,5.54825,1.87892,2.20882
-13.83041,-1.82718,-0.93073,-9.80421,-13.71937
-5.88566,12.16149,6.93603,-0.17401,-9.14868
-4.90779,17.56134,3.44865,9.07084,-2.93639
-6.46346,12.75784,-6.26703,11.59114,-1.27052
20.09252,24.98061,8.55581,31.80668,23.58013
15.48510,15.52013,3.31113,19.27513,18.16814
14.58995,21.91990,6.17890,18.55414,15.96615
14.54312,21.21926,3.82850,20.61674,16.14124
2.66370,5.01290,-10.30261,6.72769,8.90071
6.85791,15.30886,5.08415,19.06869,16.85816
-8.87121,11.05062,9.13228,12.36473,-0.10030
-7.77828,12.62525,13.09136,7.01289,-0.49217
0.82239,15.93337,17.74645,9.06950,5.36409
-7.71748,13.19712,16.16721,0.58044,-9.40410
5.69247,28.91349,34.06585,15.39640,4.10807
2.06849,13.49006,25.23251,15.36002,3.83478
-0.82519,4.43502,10.49000,13.73952,-3.85256
7.42441,16.21798,11.99559,14.79511,-0.19122
7.43806,14.63749,12.78429,2.40807,0.68035
23.50890,21.38754,24.82502,16.12745,15.38630
19.67674,14.04155,17.12016,16.89278,10.70336
14.89545,16.25607,15.50595,9.98645,12.77811
12.32036,20.45516,16.63897,8.63018,16.25384
0.90089,10.26521,1.51013,2.84672,-0.24715
18.34951,23.03611,13.76186,20.45831,13.01570
8.16322,9.86240,8.24755,9.38834,7.46094
-2.30975,6.82299,2.95596,3.44391,-1.35257
13.85793,30.03147,22.07542,27.68155,14.44074
1.73336,14.42331,12.99532,16.80086,2.26625
3.37902,9.43471,8.58704,8.74724,-2.16072
5.60078,10.53166,5.57705,-1.38735,-4.36127
2.23709,7.26938,4.61205,-4.97496,-5.71126
3.66684,7.59789,10.82597,7.97664,-2.78129
-15.71316,-7.90821,-5.25060,-9.54468,-21.79887
-4.97470,1.50452,4.66742,1.11894,-6.91828
4.20973,2.76103,20.58444,22.15848,7.57959
-7.02853,-3.96974,14.89324,12.60749,-3.60335
-2.18292,6.85947,9.71132,5.50541,-3.61842
-0.82356,-1.92714,-1.23773,-0.65252,-7.12407
22.87951,5.36490,8.97051,18.84523,14.22199
31.20151,3.68961,3.48645,21.00419,21.44549
19.51845,-7.97145,-12.11297,6.62889,14.55614
34.79209,10.34822,7.88705,22.42558,35.71595
23.59850,2.42276,5.09161,7.59920,16.49525
6.78780,-8.32205,-4.95595,-6.21289,-7.91631
4.17385,-7.17073,-2.22496,2.00920,-3.25541
12.02918,-4.65822,3.03746,6.60096,7.16552
35.53268,13.05051,21.63842,26.08565,25.98915
21.49216,10.11852,19.94108,21.21382,15.48602
10.34606,11.00865,19.40486,10.78269,9.75439
11.47376,3.22908,12.45904,3.60517,7.79046
5.94296,-14.24128,-1.05633,-4.40749,-2.95369
18.89889,0.23944,15.05824,10.12018,11.82042
2.24743,-9.77895,3.99003,-11.82622,-7.12927
-6.48546,-17.11269,-6.73939,-26.02645,-26.97575
8.74086,-3.93100,5.40323,-8.88172,-13.93324
2.88580,-7.15553,0.65046,-20.58700,-15.68458
8.96979,2.43655,7.91341,-19.31471,-11.52262
4.79234,-0.43726,1.82359,-14.65595,-16.82912
5.42453,-0.41952,-6.66040,-12.13584,-12.34038
9.72260,4.13850,-1.32300,-12.23120,-7.21619
-13.35856,-7.79707,-7.71592,-30.08624,-35.13664
-3.08855,10.30800,9.78531,-13.98679,-24.33409
4.26017,7.01355,14.81311,-10.76806,-10.95989
-5.84849,-11.00578,2.36243,-23.71278,-23.68145
-3.45749,-4.12670,5.66476,-14.24439,-25.24481
-14.43807,-10.58494,0.00883,-18.47528,-26.35942
-11.37490,-4.30048,2.87234,-4.91358,-10.60881
-19.09004,-10.07703,-8.70449,-2.93960,-17.83199
-27.13757,-20.22106,-21.59279,-20.80469,-27.00505
-9.56027,-5.63016,-8.79534,-11.34867,-2.29191
-18.26247,-16.65801,-14.25087,-13.33708,-8.97261
-19.15061,-18.95009,-5.09424,-11.42269,-14.34716
-11.87673,-11.50431,12.64305,-7.55180,-6.11563
-8.90128,-10.40093,13.94017,-4.78087,-1.46059
-1.83677,-5.89956,12.13636,4.80195,1.53792
-19.55918,-25.53188,-4.43636,-18.72810,-21.96326
-9.28191,-25.62484,4.91538,-17.50570,-16.28717
0.07339,-22.26051,8.87639,-7.86956,-9.67354
-21.83782,-32.32002,-11.48660,-26.09057,-29.83593
-15.85613,-19.09273,-0.72109,-14.62861,-19.55298
-16.91388,-19.16420,4.90532,-9.11989,-20.77909
-15.97247,-11.76361,3.98470,-9.40272,-20.00996
-11.10372,-9.81241,-7.68557,-15.13639,-13.10320
-18.15957,-24.57270,-29.53470,-33.65090,-23.74094
-5.16845,-4.63551,-17.36837,-18.88255,-9.50451
-9.97607,-4.04495,-19.09463,-15.84846,-6.15648
-7.78347,-11.56194,-21.81202,-14.13814,-6.43856
1.10563,-4.84922,-10.67168,-7.60010,-6.00777
-11.13171,-10.59191,-15.12115,-22.39638,-21.24146
4.79483,-1.88913,-2.75865,-7.22455,-5.10093
2.47380,-10.49877,-4.30556,-6.65252,-7.22275
-9.38018,-11.37028,-9.68789,-16.64553,-17.51486
-1.20874,2.59068,-2.06309,-5.88128,-6.47620
-12.88964,-16.45610,-13.28940,-18.58657,-19.33906
-7.85789,-12.96551,-5.43294,-13.58433,-14.80089
0.65773,-0.17594,1.88819,-1.80246,-3.44773
7.26119,2.21131,2.45346,2.25408,0.64765
15.11122,3.04796,7.73118,11.30637,5.14384
0.75317,-13.97152,-8.92199,-0.53319,-7.33968
10.45736,-15.65952,-13.46691,-0.19398,3.28284
9.38567,-28.43088,-23.61696,-13.45471,0.06671
-3.04464,-30.83130,-27.63256,-27.16175,-12.04096
11.07579,-5.47296,-2.51211,-4.90019,6.34962
9.17377,-12.59665,-5.32615,-4.74747,5.70995
17.71592,-7.42582,-2.77348,1.08839,12.85123
23.13692,1.98592,12.42658,11.08692,20.26817
13.49878,-6.12835,13.71900,9.88207,14.42470
14.87782,-7.56607,8.48692,16.60984,18.99986
3.50802,-20.45519,-9.22920,-0.74653,7.94871
15.78383,-6.61363,1.91677,5.07079,21.02213
18.41278,-0.89638,3.28938,17.23049,28.56305
-3.40147,-18.66219,-15.82530,4.57202,6.71683
11.06623,-2.78513,3.98860,17.45270,16.47741
10.07481,-0.57649,6.52734,12.52485,15.03712
0.61994,-3.59870,-5.71881,1.93317,4.91552
2.32108,0.17615,-9.52981,2.94029,1.87330
-1.36097,-1.85758,-16.21683,-9.56567,-6.50028
4.02457,12.79637,-5.71044,-7.60419,-3.09587
-12.96393,4.62405,-10.60774,-16.69053,-24.11062
-12.00395,-1.25148,-8.14299,-15.70311,-25.02955
6.02346,3.89369,8.25923,-0.83462,3.01964
4.43454,-0.85413,11.87967,2.48134,12.84087
25.83144,15.31335,29.79141,27.67312,36.93277
25.44951,6.67022,23.02599,23.40987,36.07863
6.95727,-4.43818,3.91272,9.86160,18.78584
3.47664,2.89618,1.76544,26.16594,18.60125
1.17195,-1.82928,1.21802,27.33256,18.60375
23.60871,19.08734,23.03397,38.77045,41.34133
19.67739,23.28283,24.38068,37.27009,33.27609
6.34479,15.89913,18.18298,30.24850,15.04601
16.94822,25.85591,28.85728,40.99971,29.70161
3.35918,16.43851,16.51463,25.48319,21.60965
7.35450,20.02867,19.25196,23.44756,21.33993
14.84576,15.07221,22.53906,26.19189,21.53912
3.05749,4.91831,14.08523,23.13010,14.44257
-2.14866,16.82547,18.97527,27.69214,21.50551
-9.28125,14.41821,14.88048,8.62999,12.27935
10.83317,22.74140,24.60514,13.62201,21.92387
14.25723,20.44050,25.18139,20.20304,27.76846
-3.19426,11.81642,14.88071,9.96888,15.83975
5.87624,26.53398,25.01958,21.18818,18.97299
-1.62225,16.88560,14.83196,11.17963,3.95129
-0.99291,13.05154,8.62522,10.27602,7.07858
-0.80865,7.70450,2.94372,14.75290,12.87082
-15.62118,-9.00811,-11.30444,-3.43901,-3.19045
-6.58316,1.44099,0.42036,-3.59802,3.71006
-15.03707,-3.30772,-1.71582,-13.13785,-3.31766
-17.03233,-0.96451,3.23544,-8.43243,-3.12049
-12.21949,7.35114,16.90221,8.12550,7.81802
-28.13742,-4.40823,6.94373,1.01821,-2.72697
